Euro Inflation,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Cash,-0.17,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Aggregate Bonds hedged,-0.41,0.31,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Aggregate Bonds,-0.46,0.30,0.75,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Inv Grade Corporate Bonds hedged,-0.35,0.15,0.83,0.67,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Inv Grade Corp Bonds,-0.38,0.12,0.62,0.78,0.83,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. High Yield Bonds hedged,-0.11,0.02,0.35,0.27,0.63,0.64,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro High Yield Bonds,-0.14,-0.01,0.25,0.32,0.54,0.69,0.87,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Leveraged Loans hedged,-0.02,-0.07,0.05,0.10,0.35,0.48,0.78,0.86,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Government Bonds,-0.42,0.30,0.70,0.98,0.57,0.66,0.14,0.19,-0.03,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Govt Inflation-Linked Bonds,-0.18,0.14,0.43,0.67,0.50,0.64,0.39,0.40,0.25,0.65,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Government Bonds hedged,-0.45,0.33,0.86,0.86,0.60,0.53,0.07,0.02,-0.18,0.89,0.48,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Government Bonds,-0.23,0.20,0.39,0.52,0.23,0.23,-0.19,-0.14,-0.18,0.55,0.19,0.60,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World ex-Euro Government Bonds hedged,-0.38,0.24,0.86,0.67,0.57,0.38,0.01,-0.12,-0.28,0.70,0.31,0.94,0.55,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World ex-Euro Government Bonds,-0.18,0.15,0.26,0.33,0.08,0.07,-0.29,-0.23,-0.23,0.36,0.03,0.45,0.96,0.44,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Multiverse Bonds hedged,-0.47,0.32,0.95,0.89,0.83,0.75,0.40,0.34,0.13,0.84,0.58,0.90,0.45,0.82,0.28,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging Markets Sovereign Debt hedged,-0.24,0.07,0.59,0.52,0.78,0.73,0.75,0.61,0.44,0.41,0.50,0.38,-0.05,0.33,-0.20,0.64,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging Markets Local Currency Debt,-0.10,0.14,0.32,0.40,0.43,0.52,0.45,0.46,0.38,0.34,0.39,0.25,0.27,0.13,0.17,0.42,0.56,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging Markets Corporate Bonds hedged,-0.23,0.04,0.53,0.46,0.77,0.75,0.76,0.68,0.57,0.33,0.43,0.28,-0.05,0.22,-0.19,0.57,0.90,0.56,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Large Cap,-0.08,-0.15,0.10,0.16,0.37,0.50,0.70,0.76,0.65,0.06,0.35,-0.10,-0.22,-0.20,-0.29,0.18,0.52,0.48,0.55,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Small Cap,-0.14,-0.13,0.14,0.19,0.43,0.55,0.74,0.80,0.69,0.06,0.33,-0.07,-0.21,-0.16,-0.29,0.22,0.54,0.41,0.59,0.92,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Large Cap,-0.03,-0.17,0.04,0.17,0.27,0.44,0.56,0.61,0.57,0.09,0.28,-0.06,0.06,-0.17,-0.01,0.14,0.38,0.49,0.39,0.81,0.77,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Large Cap hedged,-0.03,-0.15,0.18,0.17,0.44,0.52,0.73,0.66,0.56,0.08,0.33,-0.02,-0.33,-0.09,-0.44,0.23,0.62,0.37,0.59,0.83,0.81,0.82,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Area Large Cap,-0.11,-0.12,0.14,0.19,0.39,0.50,0.70,0.73,0.60,0.09,0.35,-0.06,-0.29,-0.16,-0.37,0.22,0.56,0.45,0.58,0.97,0.90,0.75,0.84,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Area Small Cap,-0.13,-0.11,0.15,0.19,0.41,0.51,0.73,0.78,0.65,0.08,0.36,-0.06,-0.28,-0.16,-0.36,0.23,0.54,0.40,0.57,0.92,0.97,0.70,0.80,0.93,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
